"";"ano";"Estado";"Macrorregiao";"agressoes_e_confrontos";"MVII";"MCMD";"MG";"MCE";"populacao";"homicidios_Mapa_da_Violencia";"homicidios_ocultos_Mapa_da_Violencia";"MCE_total";"prop_hopmmd";"prop_hopmvii";"prop_MVII_ocultos_CMD";"homicidios_ocultos_CMD_media";"homicidios_ocultos_MVII_prop_media";"homicidios_ocultos_MVII_rand_media";"homicidios_intencionais_prop_media";"homicidios_intencionais_rand_media";"homicidios_intencionais_prop_sd";"homicidios_intencionais_rand_sd";"homicidios_intencionais_prop_li";"homicidios_intencionais_prop_ls";"homicidios_intencionais_rand_li";"homicidios_intencionais_rand_ls";"diferenca_metodos";"tx_agressoes";"tx_homicid_ajprop";"tx_homicid_ajrand";"mortes_violentas"
"90";2022;"Alagoas";"Nordeste";1136;77;1263;23122;1309,37;3218381;1176;40;2484;0,0520128087831656;0,472176079734219;0,00356816102470265;65,6043333333333;36,3096666666667;38,63;1238;1240;29,5627342401192;31,3134305296103;1190;1308;1188;1312;-2;35,2972503876949;38,4665457570126;38,5286888034698;2549,37
"91";2023;"Alagoas";"Nordeste";1194;98;795;21965;1447,88266666667;3218607;NA;NA;2691;0,056445137216003;0,460678488820355;0,00467620802040527;45,389;45,141;49,1173333333333;1285;1289;20,4623068592147;24,4889607024809;1251;1333;1245;1339;-4;37,0967937371664;39,9241038126121;40,0483811785658;2736,88266666667
"92";2024;"Alagoas";"Nordeste";1152;185;783;22653;1634,40766666667;3220104;NA;NA;2879;0,0527182113300718;0,427829313543599;0,00850441223538018;41,2243333333333;79,1376666666667;92,5923333333333;1272;1286;21,7401587122452;33,728023690737;1236;1319;1220;1353;-14;35,7752420418719;39,5018297545669;39,936598321048;2920,40766666667
"93";1979;"Amapá";"Norte";15;1;146;823;72,4966666666667;169155;NA;NA;88;0,023598820058997;0,181818181818182;0,00294985250737463;3,22633333333333;0,165;0,503333333333333;18;19;2,81735763738079;2,83853347927996;15;26;15;26;-1;8,86760663296976;10,6411279595637;11,232301735095;91,4966666666667
"94";1980;"Amapá";"Norte";7;0,001;158;786;57;174609;NA;NA;64;0,0127186009538951;0,123078816597178;0,00159141494435612;1,75733333333333;0;0;9;9;2,09282254167728;2,09282254167728;7;14;7;14;0;4,00895715570217;5,15437348590279;5,15437348590279;66
"95";1981;"Amapá";"Norte";15;2;103;952;214;185536;NA;NA;230;0,0188235294117647;0,0698689956331878;0,00352941176470588;1,804;0,132666666666667;1;17;18;1,89803136518955;2,03526364369987;15;22;15;23;-1;8,08468437392204;9,16264229044498;9,70162124870645;232
"96";1982;"Amapá";"Norte";23;1;83;823;77,496;196660;NA;NA;101;0,0323886639676113;0,237623762376238;0,00269905533063428;2,64366666666667;0,219666666666667;0,504;26;26;2,14775693274859;2,17932199785752;23;31;23;31;0;11,6953117054815;13,220787145327;13,220787145327;103,496
"97";1983;"Amapá";"Norte";28;0,001;69;873;103;207862;NA;NA;131;0,0360248447204969;0,219698634080561;0,00124347826086957;2,40733333333333;0;0;30;30;1,9503882246785;1,9503882246785;28;35;28;35;0;13,4704756040065;14,4326524328641;14,4326524328641;133
"98";1984;"Amapá";"Norte";25;0,001;71;913;96;219268;NA;NA;121;0,0308422301304864;0,213116500954926;0,00118742586002372;2,16666666666667;0;0;27;27;1,86781114187421;1,86781114187421;25;32;25;32;0;11,4015725048799;12,3136983052703;12,3136983052703;123
"99";1985;"Amapá";"Norte";34;0,001;91;975;106;230575;NA;NA;140;0,0395480225988701;0,248228710841921;0,00113107344632768;3,508;0;0;38;38;2,47345412836146;2,47345412836146;34;43;34;43;0;14,7457443348151;16,4805377859699;16,4805377859699;144
"100";1986;"Amapá";"Norte";30;2;69;1136;107,996666666667;241487;NA;NA;139;0,0290262172284644;0,22463768115942;0,00280898876404494;1,911;0,438333333333333;1,00333333333333;32;33;1,81302562296439;1,87247517384017;30;37;30;37;-1;12,4230289829266;13,2512309151217;13,6653318812193;140,996666666667
"101";1987;"Amapá";"Norte";25;4;73;983;102,978333333333;252232;NA;NA;130;0,0285400658616905;0,204724409448819;0,00548847420417124;1,99866666666667;0,792666666666667;2,02166666666667;28;29;2,00627347753103;2,13544060818509;25;33;26;34;-1;9,91151003837737;11,1008912429827;11,4973516445177;131,978333333333
"102";1988;"Amapá";"Norte";20;5;107;1061;99,5183333333333;262804;NA;NA;122;0,0219895287958115;0,177966101694915;0,00628272251308901;2,26166666666667;0,861333333333333;2,48166666666667;23;25;2,29542167227531;2,52261307928997;20;29;21;30;-2;7,61023424301;8,7517693794615;9,5127928037625;124,518333333333
"103";1989;"Amapá";"Norte";39;2;84;1008;91,997;273210;NA;NA;132;0,0432432432432432;0,305343511450382;0,00324324324324324;3,61933333333333;0,582333333333333;1,003;43;44;2,65405574411186;2,67396420764193;39;49;40;50;-1;14,2747337213133;15,7388089747813;16,1048277881483;135,997
"104";1990;"Amapá";"Norte";46;3;67;961;117,488666666667;283271;NA;NA;165;0,0525139664804469;0,288343558282209;0,00446927374301676;3,40033333333333;0,855666666666667;1,51133333333333;50;51;2,45325705068158;2,52692019345888;46;56;47;57;-1;16,2388666683141;17,6509420307762;18,0039608713917;168,488666666667
"105";1991;"Amapá";"Norte";54;0,001;43;1117;143;290747;NA;NA;197;0,0511627906976744;0,277779180702933;0,000931162790697674;2,19566666666667;0;0;56;56;1,73370022236907;1,73370022236907;54;60;54;60;0;18,5728485590565;19,2607318390216;19,2607318390216;199
"106";1992;"Amapá";"Norte";73;1;49;1083;132,494666666667;311802;NA;NA;206;0,0714975845410628;0,359223300970874;0,00193236714975845;3,47;0,355666666666667;0,505333333333333;77;77;2,26295858322802;2,27664649473216;73;82;74;82;0;23,4122936992065;24,6951591073822;24,6951591073822;209,494666666667
"107";1993;"Amapá";"Norte";66;1;72;1235;167,5;332738;NA;NA;234;0,0575601374570447;0,286324786324786;0,00171821305841924;4,05466666666667;0,278;0,5;70;71;2,61335214339056;2,61813478749231;66;76;67;77;-1;19,8354260709627;21,0375731055665;21,3381098642175;238,5
"108";1994;"Amapá";"Norte";125;0,001;114;1474;193;353731;NA;NA;318;0,0925789860396767;0,39498556421807;0,000735488611315209;10,44;0;0;135;135;4,56238297889915;4,56238297889915;128;145;128;145;0;35,3375870364769;38,164593999395;38,164593999395;328
"109";1995;"Amapá";"Norte";124;0,001;95;1512;176;374713;NA;NA;300;0,0881523272214386;0,415283771706883;0,000705923836389281;8,33966666666667;0;0;132;132;3,88123449638912;3,88123449638912;126;141;126;141;0;33,0919930720311;35,2269603670009;35,2269603670009;308
"110";1996;"Amapá";"Norte";157;1;55;1593;189,508333333333;395730;NA;NA;347;0,102664067576348;0,455331412103746;0,00129954515919428;5,58133333333333;0,443;0,491666666666667;163;163;2,81550177392389;2,81809360215676;158;169;158;169;0;39,6735147701716;41,1897000480125;41,1897000480125;352,508333333333
"111";1997;"Amapá";"Norte";140;2;98;1657;157,012;416820;NA;NA;298;0,0903846153846154;0,474747474747475;0,00192307692307692;8,928;0,947333333333333;0,988;150;150;4,10715811782598;4,11905323262248;143;159;143;159;0;33,5876397485725;35,9867568734706;35,9867568734706;307,012
"112";1998;"Amapá";"Norte";160;0,001;109;1536;174;438044;NA;NA;334;0,112745098039216;0,480598449547611;0,000700980392156863;12,198;0;0;172;172;4,8180079286084;4,8180079286084;164;183;164;183;0;36,5260110856444;39,2654619170677;39,2654619170677;346
"113";1999;"Amapá";"Norte";192;2;133;1700;151,998;459519;NA;NA;345;0,123086734693878;0,561046511627907;0,00191326530612245;16,3153333333333;1,09166666666667;1,002;209;209;5,7888272710217;5,7937744314862;200;222;199;222;0;41,7828207321134;45,4823413177692;45,4823413177692;360,998
"114";2000;"Amapá";"Norte";156;0,001;176;1686;183;500966;NA;NA;339;0,103904698874917;0,461766064017835;0,000662475181998676;18,2576666666667;0;0;174;174;6,68242666733253;6,68242666733253;163;189;163;189;0;31,1398378333061;34,7328960448414;34,7328960448414;357
"115";2001;"Amapá";"Norte";182;3;191;1961;205,499666666667;522673;NA;NA;389;0,103331451157538;0,472868217054264;0,00225861095426313;19,645;1,417;1,50033333333333;203;203;7,18763127516866;7,22520676242617;191;218;191;219;0;34,8210066332104;38,8388150908886;38,8388150908886;408,499666666667
"116";2002;"Amapá";"Norte";181;4;188;1982;246,002333333333;543703;NA;NA;429;0,101392757660167;0,427230046948357;0,00278551532033426;19,0246666666667;1,699;1,99766666666667;202;202;7,09676648813279;7,02169988763354;190;217;190;218;0;33,2902338225097;37,1526366416959;37,1526366416959;448,002333333333
"117";2003;"Amapá";"Norte";185;4;233;1895;223,995333333333;564107;NA;NA;411;0,111846061334937;0,455882352941176;0,00300661455201443;26,0776666666667;1,83266666666667;2,00466666666667;213;213;8,82792561396905;8,84162198441707;198;232;198;232;0;32,7951966559536;37,7587939876655;37,7587939876655;436,995333333333
"118";2004;"Amapá";"Norte";172;1;244;1949;230,503666666667;583964;NA;NA;403;0,101406799531067;0,429280397022333;0,00117233294255569;24,551;0,426333333333333;0,496333333333333;197;197;8,50311240247153;8,49932383923158;182;216;182;216;0;29,4538704440685;33,7349562644273;33,7349562644273;427,503666666667
"119";2005;"Amapá";"Norte";196;1;222;1765;232,506;603274;NA;NA;429;0,12759067357513;0,459207459207459;0,00129533678756477;28,07;0,452;0,494;225;225;8,73702626045949;8,75111981592513;209;243;209;243;0;32,4893829337913;37,2964855107298;37,2964855107298;457,506
"120";2006;"Amapá";"Norte";202;2;222;1803;235,992333333333;621428;NA;NA;439;0,128318584070796;0,463470319634703;0,00189633375474083;28,4776666666667;0,917333333333333;1,00766666666667;231;231;8,88808046345075;8,87028817042026;216;250;216;251;0;32,5057770168065;37,1724479746648;37,1724479746648;466,992333333333
"121";2007;"Amapá";"Norte";172;0,01;248;1886;234;638841;NA;NA;406;0,105552165954851;0,425071869087693;0,000616229408175717;25,854;0;0;198;198;9,03854242027041;9,03854242027041;183;218;183;218;0;26,9237572416298;30,9936275223412;30,9936275223412;432
"122";2008;"Amapá";"Norte";210;3;208;2113;217,509;655719;NA;NA;429;0,110703043022036;0,494145199063232;0,00209863588667366;22,9876666666667;1,47466666666667;1,491;234;234;8,0591292588194;8,04444627849123;221;252;221;252;0;32,0259135391837;35,6860179436618;35,6860179436618;451,509
"123";2009;"Amapá";"Norte";190;3;250;2140;229,492666666667;672357;NA;NA;421;0,101004759386568;0,455847255369928;0,00211528291909043;25,1526666666667;1,36866666666667;1,50733333333333;217;217;8,93163681906316;8,91112802815922;201;236;201;236;0;28,2587970378831;32,2745208274771;32,2745208274771;446,492666666667
"124";2010;"Amapá";"Norte";260;7;225;2172;239,477;686987;NA;NA;503;0,133983572895277;0,525150905432596;0,00410677618069815;30,229;3,648;3,523;294;294;9,32270572030008;9,33099772297522;278;314;278;314;0;37,8464221302587;42,7955696396002;42,7955696396002;533,477
"125";2011;"Amapá";"Norte";209;10;195;2495;274,005666666667;699770;NA;NA;488;0,091264667535854;0,438413361169102;0,00478053020425902;17,886;4,40966666666667;4,99433333333333;231;232;7,11428976978951;7,23589196987873;219;248;219;248;-1;29,8669562856367;33,0108464209669;33,1537505180274;506,005666666667
"126";2012;"Amapá";"Norte";253;25;225;2601;270,608666666667;711828;258;5;536;0,106857383256205;0,49609375;0,0109381573411864;23,9643333333333;12,3626666666667;12,3913333333333;289;289;8,71278994177658;9,30390717844662;274;308;272;309;0;35,5422939249369;40,5996954320426;40,5996954320426;559,608666666667
"127";2013;"Amapá";"Norte";225;35;198;2680;302,412666666667;723831;239;14;545;0,0910189287152638;0,442270058708415;0,0144985904148208;18,331;15,4873333333333;17,5873333333333;259;261;7,68255628762934;9,15450338356058;245;275;244;280;-2;31,0846040028681;35,7818330521904;36,058140643327;563,412666666667
"128";2014;"Amapá";"Norte";256;33;183;2852;270,628666666667;735883;216;-40;543;0,0962546816479401;0,50293542074364;0,0127340823970037;17,9636666666667;16,605;16,3713333333333;291;290;7,63880894007021;9,01231651406285;277;308;274;309;1;34,7881388753375;39,5443297372001;39,4084385697183;560,628666666667
"129";2015;"Amapá";"Norte";293;34;216;2946;244,097;747050;371;78;554;0,10765287440498;0,564299424184261;0,0128158183815452;23,5553333333333;19,0996666666667;16,903;336;333;8,8754098102435;10,0088455654023;320;354;315;353;3;39,2209356803427;44,9769091760926;44,5753296298775;577,097
"130";2016;"Amapá";"Norte";381;6;165;2995;215,966666666667;756948;385;4;600;0,134934652066408;0,642016806722689;0,0024726245143059;22,377;3,84333333333333;3,03333333333333;407;406;7,34908993888805;7,37225044210264;394;423;393;422;1;50,3337085242315;53,7685547752289;53,6364453040367;621,966666666667
"131";2017;"Amapá";"Norte";383;5;161;3158;248,442666666667;765558;383;0;634;0,128085390260173;0,60952380952381;0,00200133422281521;20,5366666666667;3,03233333333333;2,55733333333333;407;406;6,83931022751047;6,87926392070379;395;422;395;421;1;50,0288678323523;53,163836051612;53,0332123758095;654,442666666667
"132";2018;"Amapá";"Norte";426;10;163;3345;221,006333333333;772784;432;6;652;0,134150172792963;0,66407465007776;0,00345585925227773;22,1323333333333;6,66033333333333;4,99366666666667;455;453;7,31055134326655;7,40308894372047;442;470;440;469;2;55,1253649143875;58,8780306010476;58,6192260709331;674,006333333333
"133";2019;"Amapá";"Norte";361;18;178;3524;260,978666666667;779468;371;10;631;0,108156558111742;0,58957654723127;0,00567672542575441;19,3886666666667;10,6936666666667;9,02133333333333;391;389;7,14800106290474;7,51820509181552;379;406;376;405;2;46,3136395592892;50,1624184700334;49,9058332093171;649,978666666667
"134";2020;"Amapá";"Norte";387;19;87;4617;280,542333333333;785533;398;11;677;0,0856323107481792;0,588770864946889;0,00441403663650408;7,40066666666667;11,179;9,45766666666667;406;404;4,22637835270526;5,05728411268549;398;414;395;414;2;49,2659124441621;51,6846523316016;51,4300481329238;684,542333333333
"135";2021;"Amapá";"Norte";462;21;151;4750;311,448333333333;790871;477;15;784;0,100652173913043;0,606020942408377;0,00478260869565217;15,0793333333333;12,7013333333333;10,5516666666667;490;488;6,41677108879205;6,92706049170102;479;504;475;502;2;58,4166065009338;61,9570068949298;61,7041211525015;799,448333333333
"136";2022;"Amapá";"Norte";358;21;154;3846;322,523666666667;795457;370;12;691;0,0972109396154888;0,535022354694486;0,00595721635526672;15,169;11,259;10,4763333333333;384;384;6,31084449600455;6,96436493983675;373;398;371;398;0;45,0055754113673;48,2741367540923;48,2741367540923;706,523666666667
"137";2023;"Amapá";"Norte";516;20;171;3926;306,989333333333;799124;NA;NA;833;0,137646432374867;0,635135135135135;0,00559105431309904;23,5346666666667;12,6673333333333;10,0106666666667;552;550;7,66447067341039;8,30383020584987;538;569;535;567;2;64,5707049218895;69,0756378234166;68,8253637733318;856,989333333333
"138";2024;"Amapá";"Norte";363;26;115;3903;325,029666666667;802837;NA;NA;701;0,0960675640010557;0,538461538461538;0,00712589073634204;11,1056666666667;13,988;12,9703333333333;388;387;5,40042727573251;6,5652056054283;378;399;375;400;1;45,214657520767;48,3286146502964;48,2040563651152;712,029666666667
"139";1979;"Amazonas";"Norte";142;0,001;1223;6927;481;1382996;NA;NA;623;0,0250657318141981;0,229167033921529;0,000175460122699386;30,0246666666667;0;0;172;172;19,0189019425217;19,0189019425217;146;218;146;218;0;10,267564042123;12,4367677129941;12,4367677129941;653
"140";1980;"Amazonas";"Norte";138;19;1020;6366;453,647666666667;1424800;NA;NA;601;0,0259958855432953;0,238421955403087;0,00374041518608566;26,6923333333333;4,515;9,35233333333333;169;174;17,2152975105965;17,4419822785186;145;211;149;217;-5;9,68556990454801;11,8613138686131;12,2122403144301;627,647666666667
"141";1981;"Amazonas";"Norte";136;35;977;6240;478,551;1490051;NA;NA;632;0,0260258358662614;0,229096989966555;0,00683890577507599;25,6266666666667;8,051;17,449;170;179;16,7892543285636;17,3474566619943;146;212;153;221;-9;9,1272043708571;11,4090054635714;12,0130116351722;657,551
"142";1982;"Amazonas";"Norte";157;31;1395;6642;549,580333333333;1556478;NA;NA;722;0,0301067073170732;0,228323699421965;0,00609756097560976;43,2246666666667;6,949;15,4196666666667;207;216;25,8016552768855;26,1700488798744;171;270;178;277;-9;10,0868756256112;13,2992563980988;13,8774849371466;765,580333333333
"143";1983;"Amazonas";"Norte";151;33;1574;6890;487,578;1623367;NA;NA;655;0,0285875493699455;0,243980738362761;0,00639458341169833;44,9233333333333;8,06233333333333;16,422;204;212;26,9672617375976;27,5988038910076;166;270;172;280;-8;9,30165514021167;12,5664744940608;13,0592774153965;699,578
"144";1984;"Amazonas";"Norte";209;21;2223;7538;484,46;1691475;NA;NA;704;0,0395033860045147;0,307017543859649;0,00413844996237773;87,7953333333333;6,44966666666667;10,54;303;307;44,6461204028115;44,8364693958484;238;413;240;419;-4;12,3560797528784;17,9133596417328;18,1498396370032;791,46
"145";1985;"Amazonas";"Norte";184;26;2208;7460;428,963;1758995;NA;NA;626;0,035217970683419;0,307820299500832;0,00513992004568818;79,4623333333333;7,91833333333333;13,037;271;276;42,3448161412969;42,4486351774907;210;369;215;375;-5;10,4605186484328;15,406524748507;15,6907779726492;704,963
"146";1986;"Amazonas";"Norte";159;26;2288;7604;575,071666666667;1824159;NA;NA;747;0,0300921572315215;0,221606648199446;0,00507805153281926;67,1923333333333;5,78;12,9283333333333;232;239;39,002820084541;39,045182566476;178;325;184;333;-7;8,71634545014991;12,7181895876401;13,1019280665775;814,071666666667
"147";1987;"Amazonas";"Norte";184;35;2115;7835;645,599666666667;1888320;NA;NA;847;0,0323370040202762;0,227552275522755;0,00629260618772942;68,5723333333333;7,865;17,4003333333333;260;270;37,7067634016007;38,0948770760851;206;350;214;359;-10;9,74411116759871;13,7688527368243;14,2984239959329;915,599666666667
"148";1988;"Amazonas";"Norte";228;53;2410;7796;648,345;1951449;NA;NA;903;0,0425097456840542;0,26909518213866;0,010024132170039;105,073;14,2546666666667;26,655;347;360;50,7735720602967;51,4674814798946;271;463;280;477;-13;11,6836258595536;17,7816586546715;18,4478303045583;1008,345
"149";1989;"Amazonas";"Norte";321;85;2571;7818;613,282666666667;2013587;NA;NA;977;0,0613567073170732;0,360582306830907;0,0163871951219512;159,988333333333;30,658;42,7173333333333;512;524;64,6903408551504;66,0415338703926;407;656;417;675;-12;15,9417000606381;25,4272599098028;26,0232113139388;1137,28266666667
"150";1990;"Amazonas";"Norte";367;92;2834;8013;553,068333333333;2073666;NA;NA;966;0,071042471042471;0,420571428571429;0,017953667953668;205,059;38,636;45,9316666666667;611;618;74,4283178624459;75,7044139993736;489;771;495;784;-7;17,6981249632294;29,4647257562211;29,8022921724135;1171,06833333333
"151";1991;"Amazonas";"Norte";403;95;2144;6836;561,119333333333;2127602;NA;NA;1012;0,0860856594928617;0,440087145969499;0,0204559982953335;187,787;41,885;47,8806666666667;633;639;62,9216242076679;63,9960497688534;527;772;531;777;-6;18,9415125573298;29,7518050838456;30,0338127149721;1200,11933333333
